fast,slow,confirm_n,sl_value,tp_value,num_trades,win_rate_pct,total_return_pct,profit_factor,expectancy_per_trade,sharpe,sortino,max_drawdown_pct,long_trades,short_trades,final_cash
50,150,3,0.6,1.5,307.0,40.390879478827365,-41.1491135786366,0.6569841015640717,-13.403620058187837,-6.225958628605735,-5.690108642620716,46.34923585859951,307.0,0.0,5885.08864213634
50,150,3,0.4,3.0,311.0,25.723472668810288,-40.5796241494827,0.6445197717216422,-13.04811065899769,-6.243927772632072,-5.599259522148711,45.650339215432076,311.0,0.0,5942.03758505173
50,150,5,0.6,1.5,299.0,40.13377926421405,-41.00801924858807,0.6518564118304316,-13.715056604878917,-6.267431501208573,-5.696741101875556,45.79970034936886,299.0,0.0,5899.198075141193
100,150,5,0.6,1.5,237.0,39.24050632911392,-36.203638214127984,0.6201607798726955,-15.275796714822018,-6.298304510622517,-5.207829999933869,39.70611355554223,237.0,0.0,6379.636178587201
50,150,1,0.6,2.0,292.0,31.506849315068493,-46.205326848189955,0.6383538140230326,-15.823742071297907,-6.489210353269249,-6.29748856170224,50.018299780024655,292.0,0.0,5379.467315181005
20,200,3,0.6,2.0,296.0,31.41891891891892,-46.88460029398903,0.6412928863083173,-15.839391991212546,-6.627027006047808,-6.417026294708664,53.132207968022236,296.0,0.0,5311.539970601097
100,200,1,0.4,3.0,329.0,25.227963525835868,-43.886485292538914,0.6225050701689604,-13.33935723177471,-6.737827806935903,-6.020664228789657,47.08397881576858,329.0,0.0,5611.351470746109
100,150,1,0.4,3.0,366.0,25.40983606557377,-46.83384199761473,0.6365228174030971,-12.79613169333736,-6.954406176450504,-6.472368556840589,50.14131779473063,366.0,0.0,5316.615800238526
100,200,1,0.6,1.5,329.0,39.51367781155015,-45.811330310741404,0.6362760485876781,-13.924416507824146,-7.151073229094208,-6.411745783673345,49.638950410598945,329.0,0.0,5418.8669689258595
50,150,1,0.6,1.5,356.0,39.60674157303371,-48.19849683575653,0.6438921396547549,-13.538903605549606,-7.15119094189371,-6.834354918749898,52.29691918828049,356.0,0.0,5180.150316424347
20,150,3,0.6,2.0,309.0,30.74433656957929,-50.24737002199888,0.6177436090786023,-16.26128479676338,-7.207569035103004,-7.01630730192683,55.40961421676326,309.0,0.0,4975.262997800112
